filename,gt_plate,pred_raw,pred_defog,acc_raw,acc_defog,conf_raw,conf_defog,brightness_raw,brightness_defog,sharp_raw,sharp_defog
IMG_2384_frame_000459.jpeg,9PMX795,9PMX795,9PWX795,1.0,0.8571428571428572,0.85302734375,0.80419921875,94.69854953859584,84.97047922642058,783.9760677295836,3174.3850039501767
IMG_2386.jpeg,8MHL131,8MHL131,HMH1331,1.0,0.5714285714285714,0.76904296875,0.77587890625,170.31619251674437,122.72719172545561,318.17838018949203,1431.3151033180086
IMG_2387.jpeg,8JUE333,BJUE333,BJUE333,0.8571428571428572,0.8571428571428572,0.859375,0.8623046875,173.52262409432652,127.10855445894921,298.6840367898653,1398.9221847426147
IMG_2388.jpeg,67776M1,67776M1,67776M1,1.0,1.0,0.787109375,0.798828125,179.09475584215167,141.51630368100172,466.31148258233475,2363.8115873515912
IMG_2389.jpeg,1608816,1608816,1608816,1.0,1.0,0.76904296875,0.84765625,179.25733888591444,135.8661445866927,297.3310142474447,1546.5689449446593
IMG_2390.jpeg,1408508,1408508,1408508,1.0,1.0,0.74072265625,0.77392578125,180.1765745617949,143.16823426258364,296.1730185385479,1909.8463623692194
IMG_2391.jpeg,1044958,104458,104458,0.8571428571428572,0.8571428571428572,0.869140625,0.87744140625,180.13171313246235,138.63615081770877,296.89491541013234,1809.5632782260152
IMG_2393.jpeg,1431360,1431360,1431360,1.0,1.0,0.88818359375,0.8984375,179.6416861208218,140.46455467153424,298.01009368752887,1509.3059521830585
IMG_5004_resized.jpg,RSULAHH,RSULAHH,RSULAHH,1.0,1.0,0.8681640625,0.8828125,162.8245029075159,127.17856675366906,308.9008307108595,1259.1492425102783
IMG_5509_resized.jpg,8XOM170,8XDM170,8XOM170,0.8571428571428572,1.0,0.80908203125,0.7548828125,167.95530957367515,136.2450860214842,330.921392254734,1782.727530778011
IMG_5772.jpeg,9POM121,9POM121,9POM121,1.0,1.0,0.7919921875,0.78759765625,172.30700431043877,133.7982515991146,410.39590625811974,1615.479605224171
IMG_5773.jpeg,8SHF202,8SHF202,8SHF202,1.0,1.0,0.423828125,0.50146484375,167.1825386472672,129.90086061657777,435.77940154638736,1808.954176878393
IMG_5774.jpeg,6YYM380,6YYM380,6YYM380,1.0,1.0,0.85888671875,0.86474609375,167.8007860069182,127.0028855356443,335.719315745166,1535.6053238267646
IMG_5775.jpeg,8CMX516,8CMX516,8CMX516,1.0,1.0,0.84423828125,0.8291015625,170.74452224466177,129.30332344003702,320.82247614424034,1344.221559429936
IMG_5776.jpeg,9POM121,9POM121,9POM121,1.0,1.0,0.84912109375,0.8544921875,172.63458765064667,135.04659297489573,358.80773783020214,1684.5606216321326
IMG_5870.jpeg,7GKE712,7GKE712,7GKE712,1.0,1.0,0.8759765625,0.87744140625,166.77288249887147,125.88059055444451,320.62466298604966,1345.9947087855548
IMG_5871.jpeg,9MWC382,9MWC382,9MWC382,1.0,1.0,0.8662109375,0.865234375,175.49133847211723,136.44312390754914,315.8789064944517,1529.0854832012226
IMG_5877.jpeg,STA2EF,STA2EF,STA2EF,1.0,1.0,0.90380859375,0.9091796875,176.95318191898673,135.58290255885018,314.65686439268853,1390.6732464986062
IMG_5878.jpeg,3LA8EB,3LA8EB,3LA8EB,1.0,1.0,0.87353515625,0.876953125,173.13772795480074,129.14887696816123,311.8235928608491,1295.7149579465065
IMG_5880.jpeg,85E0204,1088411,,0.0,0.0,0.509765625,0.0,180.89234470794491,151.2636322066764,308.8271796026489,2030.3581435988547
IMG_5882.jpeg,BJY0327,BJY0327,BJY0327,1.0,1.0,0.9072265625,0.8955078125,172.74174699297157,130.1982456321649,294.79583544906933,1427.021771756361
IMG_5883.jpeg,FNA1DH,FNA1DH,FNA1DH,1.0,1.0,0.86767578125,0.8798828125,141.93021272938188,104.24455693735828,295.9746452156129,1338.4765263210563
IMG_5884.jpeg,2DA8F0,2DA8F0,2DA8F0,1.0,1.0,0.86328125,0.8701171875,168.04411710832738,125.42440630927011,305.4661069369928,1396.5669956891936
IMG_5886.jpeg,MMZWHP,HMZMHP,MMZWPP,0.6666666666666667,0.8333333333333334,0.87109375,0.8740234375,175.80402847545912,138.61137388983371,301.9467344084521,1454.9392466836964
IMG_5891.jpeg,FOA4SW,FOA4SW,FOA4SW,1.0,1.0,0.890625,0.908203125,168.4164555579176,128.55395094316017,309.5970607222873,1289.3869352572387
IMG_5892.jpeg,TXA29X,TXA29X,TXA29X,1.0,1.0,0.80810546875,0.7265625,172.81397232085993,137.09627980564653,305.93875739050907,1576.5058708131548
IMG_5894.jpeg,6ZA6NZ,6ZA6NZ,6ZA6NZ,1.0,1.0,0.87109375,0.8916015625,169.6842745087361,132.37134086369886,312.958064901128,1376.9848848986508
IMG_5895.jpeg,7CTJ853,7CTJ853,7CTJ853,1.0,1.0,0.86376953125,0.86083984375,167.96825549921616,127.0008161121959,320.17937128882556,1401.6425204070551
IMG_5896.jpeg,BLA512,BLA512,BLA512,1.0,1.0,0.880859375,0.875,178.67842557708525,136.52531096028946,299.4075161603995,1582.7733822201635
IMG_5897.jpeg,W8A091,W8A091,W8A091,1.0,1.0,0.88623046875,0.8857421875,175.82758115302448,146.36327206422692,300.4351520503634,1926.7796004898528
IMG_5899.jpeg,XNA1Y1,XNA1Y1,XNA1Y1,1.0,1.0,0.7998046875,0.85595703125,177.26367201169305,145.24807473304395,310.26172677757233,2183.416441193778
IMG_5900.jpeg,BVL4257,BUL4257,BVL4257,0.8571428571428572,1.0,0.83447265625,0.85400390625,179.05962570052455,143.85387892779283,317.36830676393686,1804.9171032196077
IMG_5958.jpeg,80970B4,,,0.0,0.0,0.0,0.0,170.07583003244872,128.25308692376734,315.1446667553032,1519.6013688594378
IMG_5959.jpeg,4245363,42453G3,42453G3,0.8571428571428572,0.8571428571428572,0.79248046875,0.73046875,166.22707194261147,125.14101664630994,300.15102201006204,1474.3308019693086
IMG_5961.jpeg,9TWF744,9TWF744,9TWF744,1.0,1.0,0.9091796875,0.908203125,180.15142973824047,135.6154284791334,295.33061532472533,1760.9303616343595
IMG_5962.jpeg,8PAT244,8PAT244,8PAT244,1.0,1.0,0.76611328125,0.78515625,180.0136755001565,140.51320242149148,331.1834624778682,1714.0428199854523
IMG_5963.jpeg,50870H3,50870H3,50870H3,1.0,1.0,0.74658203125,0.85693359375,174.8485760028677,131.87560844811176,310.64968069263347,1548.671178190727
IMG_5964.jpeg,8HEE950,8HEE50,8HE950,0.8571428571428572,0.8571428571428572,0.87255859375,0.87841796875,168.3051868943951,131.19203604956644,308.72394454472663,1650.420321374109
IMG_5965.jpeg,9TWF744,9TWF744,9TWF744,1.0,1.0,0.90283203125,0.90576171875,177.86588426844503,145.38664403357794,298.33106386592743,2036.4127457953227
IMG_6180.jpeg,7TGJ110,7IGJ110,7TGJ110,0.8571428571428572,1.0,0.892578125,0.90673828125,138.35262321074262,110.69026303133136,204.96626256612976,690.7863245572507
IMG_6184.jpeg,9SHX552,9SHX552,9SHX552,1.0,1.0,0.85595703125,0.8720703125,147.88202714374071,119.40578639184584,351.87168873054895,1141.191034315829
IMG_6188.jpeg,7SOV044,7SOV044,7SOV044,1.0,1.0,0.74169921875,0.8115234375,157.15972864679566,129.66093832562603,626.7786042944487,2219.459669622485
IMG_6192.jpeg,8BMG600,8BMG600,8BMG600,1.0,1.0,0.83837890625,0.853515625,163.19618058289416,130.41579661539257,580.6354652680914,1860.8832529352242
